,med_rad_L,mid_fir_L,low_rad_L,upp_rad_L,med_rad_U,mid_fir_U,low_rad_U,upp_rad_U,med_mst_L,med_sfr_L,low_sfr_L,upp_sfr_L,med_mst_U,med_sfr_U,low_sfr_U,upp_sfr_U,med_qir_L,low_qir_L,upp_qir_L,med_qir_U,low_qir_U,upp_qir_U,mid_sfr_L,med_qir_L_sfr,low_qir_L_sfr,upp_qir_L_sfr,mid_sfr_U,med_qir_U_sfr,low_qir_U_sfr,upp_qir_U_sfr
0,22.359794363000457,37.62801612855219,22.27585662902528,22.440063242134432,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1,22.451935962285155,37.71809849709794,22.36551673781291,22.53018516122374,0.0,0.0,0.0,0.0,8.419618714430651,1.0428405286148341,1.0030804628189625,1.1329810572179921,,,,,2.641222319536144,2.6132447267573475,2.6548609043952403,,,,,,,,,,,
2,22.544445098469637,37.80818086564368,22.454415760771724,22.62157049945069,0.0,0.0,0.0,0.0,8.570347248667023,1.0692760416907152,1.0139131284504785,1.1586867348454646,9.550640608376158,2.0657502687226215,2.0121721123450844,2.0926598286991007,2.638489808586666,2.6033391560042682,2.6552576876205483,2.6476106152060304,2.630885253586177,2.659918431608788,,,,,,,,
3,22.638700685299558,37.89826323418943,22.549629094613646,22.709852311167396,0.0,0.0,0.0,0.0,8.721075782903398,1.0954857365632382,1.0173315368773046,1.2189608946509347,9.664697191790859,2.0268104470501247,1.9943618896340167,2.1158303381902854,2.637885625908492,2.6012884353305132,2.6572381413336417,2.6398835375860994,2.628027892332445,2.657619958743405,,,,,,,,
4,22.73435534493056,37.988345602735166,22.64349556852812,22.80206250653145,0.0,0.0,0.0,0.0,8.87180431713977,1.1305811243563513,1.0320503000266164,1.2697277411761343,9.77875377520556,2.0658178607513347,2.0074030120111543,2.1528681571985344,2.639664955679189,2.6034209993705852,2.660657293769268,2.6425225465484026,2.6160175683209115,2.657241996714488,,,,,,,,
5,22.828460995475137,38.07842797128092,22.74285929355438,22.890992567667748,0.0,0.0,0.0,0.0,9.022532851376145,1.1692695427437658,1.0434755151504234,1.3416452474814269,9.892810358620261,2.0596622841355514,2.0148588863836063,2.144269007340261,2.6409812375611423,2.5990636219653105,2.6623806108794987,2.6386636889457016,2.6145160745786846,2.656397777209172,,,,,,,,
6,22.91947322100122,38.16851033982665,22.83334940359952,22.98187901778551,0.0,0.0,0.0,0.0,9.173261385612516,1.1983870628358284,1.0545781518228252,1.3971784478974574,10.006866942034963,2.075283389636039,2.0144064269167794,2.189069792657523,2.641928534488464,2.5959578900409577,2.666084431139939,2.6401235044030464,2.618380208779735,2.6568102348210982,,,,,,,,
7,23.016080325972425,38.258592708372404,22.9368206080969,23.075639461481185,0.0,0.0,0.0,0.0,9.323989919848891,1.2308297704963762,1.052301830211743,1.457893526938108,10.120923525449664,2.095322618743629,2.018305370220612,2.2225114425598034,2.643664775518886,2.601557296795018,2.671586600363415,2.6373338022887403,2.6077090570006884,2.6597167478615393,,,,,,,,
8,23.109103819121813,38.34867507691814,23.035945932578013,23.16543392354586,0.0,0.0,0.0,0.0,9.474718454085263,1.2458018858391897,1.0420011241403508,1.5125011527480487,10.234980108864365,2.114644420831155,2.0203268264742706,2.2601281692185755,2.6484893512376466,2.6041213799890643,2.6839199895901786,2.641646466921067,2.61107279706422,2.6620747890308842,,,,,,,,
9,23.20535333232187,38.43875744546389,23.135431753333034,23.25489365313856,0.0,0.0,0.0,0.0,9.625446988321638,1.2355816190821007,1.0182471241577602,1.5508577957523408,10.349036692279066,2.127514409095208,2.0218080037502055,2.2944528466638827,2.6563768888547266,2.6084788820345604,2.7047312707358433,2.6437344922560087,2.61632248011887,2.665347258942343,,,,,,,,
